:START_ID(HAPLOTYPE),:END_ID(HAPLOTYPE),:TYPE
5319,246,TOP
5319,1090,TOP
5320,247,TOP
5321,248,TOP
5322,249,TOP
5323,1555,TOP
5323,251,TOP
5323,290,TOP
5323,795,TOP
5323,758,TOP
5324,252,TOP
5325,253,TOP
5326,275,TOP
5326,254,TOP
5327,272,TOP
5327,255,TOP
5328,256,TOP
5329,258,TOP
5330,259,TOP
5331,260,TOP
5332,285,TOP
5332,261,TOP
5333,262,TOP
5334,487,TOP
5334,792,TOP
5334,263,TOP
5335,264,TOP
5336,267,TOP
5337,268,TOP
5338,891,TOP
5338,269,TOP
5339,270,TOP
5339,2523,TOP
5340,894,TOP
5340,271,TOP
5341,273,TOP
5342,330,TOP
5342,276,TOP
5343,277,TOP
5344,278,TOP
5345,279,TOP
5346,280,TOP
5347,281,TOP
5348,282,TOP
5349,322,TOP
5349,283,TOP
5349,316,TOP
5350,325,TOP
5350,318,TOP
5350,284,TOP
5351,286,TOP
5352,287,TOP
5353,288,TOP
5354,289,TOP
5355,291,TOP
5356,292,TOP
5357,293,TOP
5358,1250,TOP
5358,294,TOP
5358,464,TOP
5359,295,TOP
5360,296,TOP
5361,297,TOP
5362,298,TOP
5363,300,TOP
5364,302,TOP
5365,303,TOP
5366,304,TOP
5367,305,TOP
5368,306,TOP
5369,307,TOP
5370,308,TOP
5371,309,TOP
5372,310,TOP
5373,311,TOP
5374,312,TOP
5375,314,TOP
5376,315,TOP
5376,678,TOP
5377,317,TOP
5378,331,TOP
5378,319,TOP
5379,320,TOP
5380,321,TOP
5381,323,TOP
5382,324,TOP
5383,326,TOP
5384,327,TOP
5385,328,TOP
5386,329,TOP
5387,345,TOP
5387,332,TOP
5388,333,TOP
5389,334,TOP
5390,335,TOP
5391,336,TOP
5392,337,TOP
5392,356,TOP
5393,1513,TOP
5393,1511,TOP
5393,338,TOP
5394,352,TOP
5394,339,TOP
5395,340,TOP
5396,341,TOP
5397,342,TOP
5397,1527,TOP
5398,343,TOP
5399,344,TOP
5400,346,TOP
5401,347,TOP
5401,364,TOP
5402,348,TOP
5402,1526,TOP
5403,349,TOP
5404,350,TOP
5405,366,TOP
5405,351,TOP
5406,353,TOP
5407,354,TOP
5408,355,TOP
5409,357,TOP
5410,358,TOP
5411,359,TOP
5412,360,TOP
5413,361,TOP
5414,362,TOP
5415,363,TOP
5416,369,TOP
5416,365,TOP
5417,367,TOP
5418,368,TOP
5419,370,TOP
5420,371,TOP
5421,372,TOP
5422,373,TOP
5423,374,TOP
5424,375,TOP
5424,2308,TOP
5425,376,TOP
5426,935,TOP
5426,377,TOP
5426,979,TOP
5426,933,TOP
5426,941,TOP
5426,922,TOP
5427,378,TOP
5428,2312,TOP
5428,2882,TOP
